source,target,weight
api,api.endpoints,1
api,api.utils,1
api,config,1
api,config.loader,1
api,core.badges,1
api,core.friends,1
api,core.model,2
api,core.tokenization,1
api,logging,1
api.endpoints,api,8
api.endpoints,api.utils,51
api.endpoints,config,1
api.endpoints,core,15
api.endpoints,core.account_management,1
api.endpoints,core.audio_lessons,2
api.endpoints,core.behavioral_modeling,1
api.endpoints,core.bookmark_operations,1
api.endpoints,core.bookmark_quality,1
api.endpoints,core.constants,2
api.endpoints,core.content_recommender,3
api.endpoints,core.content_retriever,4
api.endpoints,core.crowd_translations,1
api.endpoints,core.emailer,5
api.endpoints,core.exercises,1
api.endpoints,core.friends,2
api.endpoints,core.language,4
api.endpoints,core.leaderboards,1
api.endpoints,core.llm_services,4
api.endpoints,core.model,52
api.endpoints,core.nlp_pipeline,1
api.endpoints,core.sql,5
api.endpoints,core.tokenization,3
api.endpoints,core.translation_services,1
api.endpoints,core.user_activity_hooks,1
api.endpoints,core.user_feature_toggles,2
api.endpoints,core.user_statistics,5
api.endpoints,core.util,2
api.endpoints,core.verbal_flashcards,1
api.endpoints,core.word_scheduling,3
api.endpoints,logging,16
api.utils,core.model,2
api.utils,core.utils,1
api.utils,logging,3
cl,api.app,1
core,core.model,1
core.account_management,core,2
core.account_management,core.emailer,1
core.account_management,core.model,2
core.account_management,logging,1
core.audio_lessons,config,3
core.audio_lessons,core,1
core.audio_lessons,core.emailer,1
core.audio_lessons,core.llm_services,2
core.audio_lessons,core.model,4
core.audio_lessons,core.word_scheduling,2
core.audio_lessons,logging,6
core.badges,core,1
core.badges,core.model,2
core.badges,logging,1
core.bookmark_operations,core.model,1
core.bookmark_operations,core.tokenization,1
core.bookmark_operations,core.word_scheduling,1
core.bookmark_operations,logging,1
core.bookmark_quality,core.model,2
core.content_cleaning,core,1
core.content_cleaning,core.model,1
core.content_quality,core.ml_models,1
core.content_quality,core.model,1
core.content_recommender,core.elastic,1
core.content_recommender,core.model,1
core.content_recommender,core.util,1
core.content_retriever,core,2
core.content_retriever,core.content_cleaning,2
core.content_retriever,core.content_quality,1
core.content_retriever,core.elastic,1
core.content_retriever,core.llm_services,1
core.content_retriever,core.model,1
core.content_retriever,core.semantic_search,1
core.content_retriever,core.youtube_api,1
core.content_retriever,logging,2
core.crowd_translations,core.model,1
core.elastic,core.model,2
core.elastic,core.semantic_vector_api,1
core.emailer,core.model,2
core.emailer,core.sql,1
core.emailer,logging,1
core.exercises,core.word_filter,1
core.exercises,core.word_scheduling,1
core.exercises,core.word_stats,1
core.feed_handler,core.util,1
core.feed_handler,logging,2
core.friends,core,1
core.friends,core.model,2
core.friends,core.util,1
core.language,core,4
core.language,core.model,2
core.language,core.util,2
core.language,logging,1
core.leaderboards,core.model,1
core.llm_services,core.bookmark_operations,1
core.llm_services,core.elastic,1
core.llm_services,core.language,1
core.llm_services,core.model,5
core.llm_services,core.word_scheduling,1
core.llm_services,logging,8
core.ml_models,core.model,1
core.model,api.utils,1
core.model,core,20
core.model,core.audio_lessons,1
core.model,core.behavioral_modeling,1
core.model,core.bookmark_quality,1
core.model,core.constants,4
core.model,core.content_cleaning,1
core.model,core.content_quality,1
core.model,core.content_retriever,1
core.model,core.elastic,2
core.model,core.feed_handler,1
core.model,core.language,3
core.model,core.llm_services,2
core.model,core.mwe,5
core.model,core.semantic_search,1
core.model,core.sql,2
core.model,core.tokenization,1
core.model,core.user_feature_toggles,1
core.model,core.util,18
core.model,core.word_scheduling,4
core.model,core.youtube_api,1
core.model,logging,14
core.mwe,core.tokenization,1
core.reading_analysis,core.model,1
core.semantic_search,core.content_recommender,1
core.semantic_search,core.elastic,1
core.semantic_search,core.model,1
core.semantic_search,core.semantic_vector_api,1
core.semantic_search,core.util,1
core.semantic_vector_api,core.model,1
core.sql,core.model,2
core.tokenization,config,1
core.tokenization,core.model,4
core.tokenization,logging,1
core.translation_services,core.llm_services,1
core.translation_services,core.utils,1
core.translation_services,logging,1
core.user_activity_hooks,core.constants,1
core.user_activity_hooks,core.emailer,1
core.user_activity_hooks,core.model,1
core.user_activity_hooks,logging,1
core.user_statistics,core,5
core.user_statistics,core.constants,1
core.user_statistics,core.model,4
core.util,core,1
core.util,core.constants,1
core.util,core.language,1
core.util,core.model,2
core.util,core.tokenization,1
core.util,logging,1
core.verbal_flashcards,core.model,2
core.verbal_flashcards,core.word_scheduling,1
core.word_scheduling,core,1
core.word_scheduling,core.llm_services,1
core.word_scheduling,core.model,2
core.youtube_api,config,1
core.youtube_api,core.util,1
operations.crawler,api.app,3
operations.crawler,core,2
operations.crawler,core.content_retriever,3
operations.crawler,core.emailer,1
operations.crawler,core.model,2
operations.crawler,logging,4
operations.report_generator,api.app,1
operations.report_generator,core.model,1
operations.report_generator,operations.crawler,1
