package,loc,fan_in,fan_out
__init__,0,0,0
api,223,1,9
api.app,0,3,0
api.endpoints,9787,1,31
api.utils,303,3,3
cl,3,0,1
config,51,5,0
config.loader,0,1,0
core,185,13,1
core.account_management,321,1,4
core.audio_lessons,1856,2,7
core.badges,131,1,3
core.behavioral_modeling,32,2,0
core.bookmark_operations,220,2,4
core.bookmark_quality,105,2,1
core.constants,0,5,0
core.content_cleaning,158,2,2
core.content_quality,306,2,2
core.content_recommender,372,2,3
core.content_retriever,738,3,9
core.crowd_translations,16,1,1
core.elastic,593,5,2
core.emailer,247,5,3
core.events,9,0,0
core.exercises,23,1,3
core.feed_handler,195,1,2
core.friends,59,2,3
core.language,463,4,4
core.leaderboards,201,1,1
core.llm_services,2503,6,6
core.ml_models,29,1,1
core.model,11241,33,22
core.mwe,709,1,1
core.nlp_pipeline,805,1,0
core.reading_analysis,47,0,1
core.semantic_search,131,2,5
core.semantic_vector_api,44,2,1
core.sql,125,3,1
core.tokenization,722,6,3
core.translation_services,593,1,3
core.user_activity_hooks,69,1,4
core.user_feature_toggles,0,2,0
core.user_statistics,242,1,3
core.util,175,8,6
core.utils,17,2,0
core.verbal_flashcards,562,1,2
core.word_filter,34,1,0
core.word_scheduling,357,7,3
core.word_stats,7,1,0
core.youtube_api,276,2,2
logging,23,18,0
operations,0,0,0
operations.crawler,587,1,6
operations.monitoring,0,0,0
operations.report_generator,979,0,3
